id;Mallin;top;bottom;hzname;soil_color;hue;value;chroma;dry_hue;dry_value;dry_chroma;texture_class;Arena (%);Limo (%);Arcilla (%)
1;Est2 A;0;20;;10 YR 2/2;10YR;2;2;;;;Franco-arenoso;55.3;34.5;10.2
2;Est2 A;20;50;;10 YR 2/1;10YR;2;1;;;;Franco-arenoso;56.9;30.7;12.4
3;Est2 B;0;20;;10 YR 2/2;10YR;2;2;;;;Franco-arcillo-arenoso;58.9;17.9;23.2
4;Est2 B;20;40;;10 YR 2/2;10YR;2;2;;;;;;;
5;M1;0;15;;7.5 YR 3/2;7.5YR;3;2;;;;Franco-arenoso;63.5;18.3;18.2
6;M12 C1;0;30;A1;7.5 YR 3/3;7.5YR;3;3;;;;Franco;48.5;34.7;16.8
7;M12 C1;30;agua;II;10 YR 3/3;10YR;3;3;;;;;;;
8;M12 B;0;20;A1;7.5 YR 3/3;7.5YR;3;3;;;;Franco;39.8;42.1;18.1
9;M12 B;20;agua;II;10 YR 3/3;10YR;3;3;;;;Franco-arcillo-arenoso;50.9;25.1;24
10;M14 A;0;20;;5 YR 2.5/2;5YR;2.5;2;;;;Franco-arenoso;64.3;29.1;6.6
11;M14 A;20;40;;10 YR 2/2;10YR;2;2;;;;Franco-arenoso;60.5;33.7;5.9
12;M14 A;40;65;;10 YR 2/2;10YR;2;2;;;;;;;
13;M14 C;0;30;;5 YR 2.5/1;5YR;2.5;1;;;;Franco;39.7;47.5;12.8
14;M15;0;10;;10 YR 3/2;10YR;3;2;;;;Franco-limoso;29.1;53.9;17
15;M15;10;30;;10 YR 4/2;10YR;4;2;;;;Franco-limoso;10.5;86.2;3.4
16;M15;30;60;;10 YR 2/2;10YR;2;2;;;;Franco-limoso;39;53.2;7.8
17;M15;60;80;;10 YR 3/3;10YR;3;3;;;;Arenoso-franco;78.4;17.4;4.3
18;M15;80;115;;10 YR 5/3;10YR;5;3;;;;Franco;44;38.1;17.9
19;M15 B;0;20;;10 YR 2/1;10YR;2;1;;;;Arenoso-franco;71.7;25;3.3
20;M15 C;0;30;;10 YR 2/1;10YR;2;1;;;;Franco-limoso;32.9;52.8;14.4
21;M18;0;20;;10 YR 2/2;10YR;2;2;;;;Franco-limoso;22.8;68.4;8.8
22;M18 (b) A;0;40;;10 YR 2/1;10YR;2;1;;;;Franco-arcilloso;41.4;25.9;32.7
23;M18 (b) A;40;55;;10 YR 2/1;10YR;2;1;;;;;;;
24;M18(b) C;0;60;;10 YR 2/2;10YR;2;2;;;;Arenoso-franco;79.7;14.5;5.8
25;M19;0;22;;10 YR 2/2;10YR;2;2;;;;Franco-limoso;6.9;82.1;11
26;M19;22;29;;5 YR 3/4;5YR;3;4;;;;Limoso;1.4;88.4;10.1
27;M19;29;41;;10 YR 4/1;10YR;4;1;;;;Arenoso-franco;82.9;7;10.1
28;M19;41;64;;10 YR 2/1;10YR;2;1;;;;Franco-limoso;21.8;62;16.2
29;M19;64;77;;7.5 YR 5/2;7.5YR;5;2;;;;Franco-arenoso;49.1;46;4.8
30;M19;77;140;;7.5 YR 4/2;7.5YR;4;2;;;;Franco;31.6;44.2;24.2
31;M2.2A C1;0;20;A;10 YR 2/2 ;10YR;2;2;;;;Franco-arenoso;57.8;27.7;14.5
32;M2.2A C1;20;32;AC;10 YR 3/2 ;10YR;3;2;;;;;;;
33;M2.2A C1;32;70;C;10 YR 2/2 ;10YR;2;2;;;;;;;
34;M2 A;0;20;;10 YR 2/2;10YR;2;2;;;;Franco-arenoso;69.3;25.9;4.7
35;M2 A;20;40;;10 YR 2/1;10YR;2;1;;;;Franco-limoso;32.1;56.9;11
36;M33;0;35;A 1.1;10 YR 3/3;10YR;3;3;;;;Arenoso-franco;71.1;23.9;5.1
37;M33;35;ROCA;A 1.2;10 YR 3/3;10YR;3;3;;;;;;;
38;M36;0;43;1;10 YR 6/2;10YR;6;2;;;;Franco;43.6;41.1;15.3
39;M36;43;93;2;10 YR 3/1;10YR;3;1;;;;Arenoso-franco;88;11;1
40;M36;93;117;3;10 YR 3/3;10YR;3;3;;;;Arenoso-franco;83.4;16.3;0.3
41;M36;117;232;4;10 YR 2/1;10YR;2;1;;;;Franco;45.5;47.1;7.5
42;M36;232+;+;5;5 YR 4/1;5YR;4;1;;;;Franco;44.4;39.4;16.2
43;M4.1 C1;0;20;O;7.5 YR 3/2;7.5YR;3;2;;;;Franco;51.5;33;15.5
44;M4.1 C1;20;32;A;10 YR 2/2 ;10YR;2;2;;;;Franco;41.9;37.4;20.7
45;M4.1 C1;32;70;Bt;10 YR 2/1;10YR;2;1;;;;Arcilloso;9.5;39.1;51.4
46;M4.1 C1;70 +;+;Bc;10 YR 3/2;10YR;3;2;;;;Franco;50.6;32.2;17.1
47;M42;0;30;A 1.1;10 YR 3/1;10YR;3;1;;;;Franco-limoso;19.9;58.2;21.9
48;M42;30;50;A 1.2;10 YR 3/1;10YR;3;1;;;;;;;
49;M44 A;0;17;A1;10 YR 3/3;10YR;3;3;;;;Franco-arenoso;65.6;22.4;12
50;M44 A;17;55;A2;10 YR 3/3;10YR;3;3;;;;Franco-arenoso;60.7;25.7;13.6
51;M44 A;55;Límite geológico;II;7.5 YR 4/4;7.5YR;4;4;;;;Franco-arcillo-arenoso;53.6;23.4;23
52;M44 V;0;10;I;7.5 YR 3/2;7.5YR;3;2;;;;Franco-arenoso;60.7;24.7;14.6
53;M44 V;10;19;II;7.5 YR 3/2;7.5YR;3;2;;;;Franco-arenoso;64.7;20.6;14.6
54;M44 V;19;43;III;10 YR 3/3;10YR;3;3;;;;Franco-arenoso;60.7;21;18.2
55;M44 V;43;70;IV;10 YR 3/3;10YR;3;3;;;;;;;
56;M5;0;10;A1;10 YR 3/3;10YR;3;3;;;;Franco arenoso;69.4;12.7;17.9
57;M5;10;29;A2;10 YR 2/1;10YR;2;1;;;;Franco arenoso;63.4;19;17.6
58;M5;29;70;AC;10 YR 3/3;10YR;3;3;;;;Franco arcillo arenoso;69;8.2;22.7
59;M5;70;100;C;10 YR 6/2;10YR;6;2;;;;;;;
60;M 5.1 B;0;30;O;7.5 Y 3/2;7.5Y;3;2;;;;Franco arenoso;57.7;32.2;10.1
61;M 5.1;0;20;A1;10 YR 4/2;10YR;4;2;;;;Franco arenoso;63.6;25.5;11
62;M 5.1;20;60;A2;10 YR 3/3;10YR;3;3;;;;;;;
63;M 5.1;60;88;AC;10 YR 3/2;10YR;3;2;;;;;;;
64;M 5.1;88;140;C;10 YR 3/2;10YR;3;2;;;;;;;
65;M6.3;0;25;1;10 YR 3/2;10YR;3;2;;;;Arcilloso;27;29.2;43.8
66;M7;0;10;1;10 YR 3/3;10YR;3;3;;;;Franco-limoso;31.7;52.4;15.9
67;M7;10;30;2;10 YR 2/1;10YR;2;1;;;;Franco-limoso;4.5;76.8;18.7
68;M7;30;40;3;10 YR 3/1;10YR;3;1;;;;Arenoso-franco;79.7;12;8.3
69;M8;;;;;;;;;;;;;;
70;M 5B;0;42;O;7.5 Y 3/2;7.5Y;3;2;;;;Franco arcillo arenoso;63.2;13;23.7
71;M 5B;42;62;I;10 YR 3/3;10YR;3;3;;;;;;;
72;M 5B;62;80;II;7.5 Y 3/2;7.5Y;3;2;;;;;;;
73;M14 D;0;55;;7.5 Y 3/2;7.5Y;3;2;;;;Arenoso-franco;82.1;12.9;5
